source,target,weight,community
Walter,Jesse,514,4
Walter,No-Doze,15,4
Walter,Tuco Salamanca,106,4
Walter,Skyler,205,4
Walter,Marie,47,4
Walter,Hank,75,4
Walter,Gonzo,5,4
Walter,Louis,5,4
Walter,Gomez,6,4
Walter,Albuquerque,5,4
Walter,Delcavoli,11,4
Walter,Badger,11,4
Walter,Clovis,5,4
Walter,Elliott,20,4
Walter,Gretchen,46,4
Walter,Skinny Pete,5,4
Walter,Carmen Molina,5,4
Walter,Spooge,20,4
Walter,Combo,27,4
Walter,Jane Margolis,69,4
Walter,Saul Goodman,59,4
Walter,Jimmy,5,4
Walter,DEA,5,4
Walter,Denny,5,4
Walter,Tortuga,5,4
Walter,Ted Beneke,10,4
Walter,Bravenec,6,4
Walter,Gus Fring,5,4
Walter,Walt Jr.,11,4
Walter,Donald Margolis,5,4
Walter,Mike,5,4
Jesse,Tuco Salamanca,102,1
Jesse,Skyler,36,1
Jesse,Hank,65,1
Jesse,No-Doze,5,1
Jesse,DEA,32,1
Jesse,Gomez,11,1
Jesse,Gonzo,6,1
Jesse,Albuquerque,11,1
Jesse,Badger,27,1
Jesse,Clovis,11,1
Jesse,Wendy,6,1
Jesse,Hector Salamanca,6,1
Jesse,Gardiner,11,1
Jesse,Paul,5,1
Jesse,Jane Margolis,117,1
Jesse,Skinny Pete,18,1
Jesse,Combo,6,1
Jesse,Spooge,51,1
Jesse,Gretchen,5,1
Jesse,Vanco,10,1
Jesse,Marie,5,1
Jesse,Ted Beneke,10,1
Jesse,Saul Goodman,21,1
Jesse,Jimmy,5,1
Jesse,Denny,6,1
Jesse,Delcavoli,5,1
Jesse,Donald Margolis,21,1
Jesse,Mike,5,1
Tuco Salamanca,No-Doze,5,2
Tuco Salamanca,Gonzo,6,2
Tuco Salamanca,Hank,59,2
Tuco Salamanca,DEA,5,2
Tuco Salamanca,Skyler,5,2
Tuco Salamanca,SAC Ramey,6,2
Tuco Salamanca,Delcavoli,5,2
Tuco Salamanca,ASAC George Merkert,6,2
Tuco Salamanca,Badger,5,2
No-Doze,Gonzo,12,2
Gonzo,Hank,5,2
Gonzo,DEA,12,2
Skyler,Marie,28,4
Skyler,Hank,11,4
Skyler,Louis,6,4
Skyler,Albuquerque,11,4
Skyler,DEA,5,4
Skyler,Gretchen,18,4
Skyler,Ted Beneke,34,4
Skyler,Delcavoli,12,4
Skyler,Jane Margolis,5,4
Skyler,Donald Margolis,10,4
Skyler,Walt Jr.,6,4
Skyler,Bravenec,5,4
Marie,Hank,28,4
Marie,Jane Margolis,10,4
Marie,Ted Beneke,5,4
Hank,Gomez,17,1
Hank,DEA,23,1
Hank,Badger,12,1
Hank,Wendy,6,1
Hank,Hector Salamanca,6,1
Hank,ASAC George Merkert,5,1
Hank,Albuquerque,5,1
Hank,Clovis,5,1
Hank,Vanco,5,1
Hank,Tortuga,5,1
Hank,Jane Margolis,5,1
Hank,Saul Goodman,5,1
Hank,Combo,5,1
Gomez,Albuquerque,5,0
Gomez,Saul Goodman,6,0
DEA,ASAC George Merkert,6,0
DEA,Merkert,5,0
DEA,Albuquerque,6,0
DEA,Badger,11,0
DEA,Saul Goodman,6,0
Albuquerque,Badger,6,0
Albuquerque,Merkert,6,0
ASAC George Merkert,SAC Ramey,6,2
Badger,Clovis,6,3
Badger,Soper,5,3
Badger,Skinny Pete,18,3
Badger,Combo,30,3
Badger,Jane Margolis,5,3
Badger,Getz,11,3
Badger,Saul Goodman,5,3
Badger,Jimmy,12,3
Soper,Delcavoli,6,3
Delcavoli,Bravenec,11,4
Elliott,Gretchen,24,4
Jane Margolis,Jimmy,5,3
Jane Margolis,Donald Margolis,53,3
Jane Margolis,Combo,10,3
Skinny Pete,Combo,11,3
Getz,Saul Goodman,6,0
Donald Margolis,Mike,5,4
Donald Margolis,Bravenec,5,4
