source,target,weight,community
Walter,Albuquerque,6,0
Walter,Skyler,86,0
Walter,Walt Jr.,5,0
Walter,Hank,73,0
Walter,Bogdan,6,0
Walter,Steven Gomez,6,0
Walter,Cook,6,0
Walter,Jesse,302,0
Walter,Gomez,5,0
Walter,Emilio,55,0
Walter,Marie,11,0
Walter,DEA,11,0
Walter,Ken,6,0
Walter,Combo,5,0
Walter,Delcavoli,5,0
Walter,Jake,5,0
Walter,Elliott,23,0
Walter,Gretchen,6,0
Walter,Badger,10,0
Walter,Hugo,5,0
Walter,Tuco Salamanca,74,0
Walter,Skinny Pete,6,0
Albuquerque,DEA,6,3
Albuquerque,Hank,6,3
Skyler,Walt Jr.,5,0
Skyler,Marie,12,0
Skyler,Jesse,22,0
Skyler,Emilio,6,0
Skyler,DEA,5,0
Skyler,Hank,23,0
Skyler,Delcavoli,5,0
Skyler,Elliott,23,0
Skyler,Hugo,5,0
Hank,DEA,5,3
Hank,Marie,12,3
Hank,Bogdan,5,3
Hank,Steven Gomez,5,3
Hank,Gomez,11,3
Hank,Jesse,6,3
Hank,Wendy,5,3
Hank,Tuco Salamanca,5,3
Hank,Hugo,6,3
DEA,Jesse,6,3
DEA,Hugo,6,3
Marie,Jesse,5,0
Gomez,Cook,6,4
Gomez,Jesse,5,4
Jesse,Emilio,5,1
Jesse,Wendy,6,1
Jesse,Combo,6,1
Jesse,Skinny Pete,12,1
Jesse,Ken,5,1
Jesse,Jake,22,1
Jesse,Badger,16,1
Jesse,Elliott,5,1
Jesse,Tuco Salamanca,40,1
Jesse,Hugo,5,1
Jesse,Hospital,6,1
Combo,Skinny Pete,6,1
Skinny Pete,Tuco Salamanca,12,1
Delcavoli,Tuco Salamanca,5,2
Elliott,Gretchen,6,0
Tuco Salamanca,Hospital,5,2
Tuco Salamanca,No-Doze,6,2
